val_mle,step,epoch,val_loss,mle,loss
,207826,60,,14.372770309448242,104.79234313964844
14.66550064086914,211233,61,108.8702621459961,,
,211233,61,,14.353158950805664,104.47412109375
14.62017822265625,214640,62,108.35884094238281,,
,214640,62,,14.340096473693848,104.25190734863281
14.63625717163086,218047,63,109.39153289794922,,
,218047,63,,14.321357727050781,103.93943786621094
14.688651084899902,221454,64,108.24362182617188,,
,221454,64,,14.304676055908203,103.64424133300781
14.570981979370117,224861,65,107.84652709960938,,
,224861,65,,14.287409782409668,103.25845336914062
14.43522834777832,228268,66,106.84130859375,,
,228268,66,,14.271413803100586,103.0029296875
14.756022453308105,231675,67,108.6965103149414,,
,231675,67,,14.256760597229004,102.75054168701172
14.511944770812988,235082,68,106.90994262695312,,
,235082,68,,14.239367485046387,102.42562103271484
