val_acc,step,epoch,val_loss,acc,loss
,75866,56,,0.6094835996627808,1.3462300300598145
0.1787525862455368,77197,57,3.5519938468933105,,
,77197,57,,0.6137692332267761,1.3331515789031982
0.17039263248443604,78528,58,3.6463420391082764,,
,78528,58,,0.6174325942993164,1.3185906410217285
0.17950403690338135,79859,59,3.558518886566162,,
,79859,59,,0.6232446432113647,1.2985577583312988
0.16574300825595856,81190,60,3.6409876346588135,,
,81190,60,,0.6267318725585938,1.2848289012908936
0.16771557927131653,82521,61,3.6856327056884766,,
,82521,61,,0.6302249431610107,1.272025227546692
0.16907759010791779,83852,62,3.7312822341918945,,
,83852,62,,0.6333188414573669,1.2607322931289673
0.17410294711589813,85183,63,3.692509889602661,,
,85183,63,,0.6365419030189514,1.2460044622421265
0.17490136623382568,86514,64,3.653907537460327,,
