step,epoch,val_acc,val_loss,loss,acc
54570,40,,,0.7060106992721558,0.7994317412376404
55901,41,0.15306217968463898,4.372923851013184,,
55901,41,,,0.6822385787963867,0.8060480356216431
57232,42,0.15611496567726135,4.471116065979004,,
57232,42,,,0.6649836301803589,0.8108033537864685
58563,43,0.1493988335132599,4.55970573425293,,
58563,43,,,0.6410883069038391,0.8181006908416748
59894,44,0.15306217968463898,4.43553352355957,,
59894,44,,,0.6224490404129028,0.8234782814979553
61225,45,0.14968062937259674,4.519050598144531,,
61225,45,,,0.6059526205062866,0.8273060321807861
62556,46,0.15620890259742737,4.47688102722168,,
62556,46,,,0.5826714634895325,0.8339576125144958
63887,47,0.15193499624729156,4.492203235626221,,
63887,47,,,0.5659786462783813,0.8400396704673767
65218,48,0.16456885635852814,4.522012710571289,,
65218,48,,,0.545946478843689,0.8449769616127014
66549,49,0.14766108989715576,4.652947425842285,,
66549,49,,,0.5324056148529053,0.8494270443916321
67880,50,0.150995671749115,4.608460903167725,,
67880,50,,,0.5160278081893921,0.8553388714790344
69211,51,0.15278038382530212,4.6498613357543945,,
69211,51,,,0.5003524422645569,0.8597184419631958
70542,52,0.1484125554561615,4.724442958831787,,
70542,52,,,0.4836778938770294,0.8623074293136597
71873,53,0.15498778223991394,4.613580703735352,,
71873,53,,,0.47215282917022705,0.8667809367179871
73204,54,0.15071387588977814,4.681974411010742,,
73204,54,,,0.45555466413497925,0.8712427020072937
74535,55,0.15127748250961304,4.74683141708374,,
74535,55,,,0.4435192048549652,0.874906063079834
75866,56,0.15329700708389282,4.704686164855957,,
75866,56,,,0.4290308952331543,0.8794617652893066
77197,57,0.15667855739593506,4.833432674407959,,
77197,57,,,0.41757646203041077,0.8829079270362854
78528,58,0.15085478127002716,4.737257957458496,,
78528,58,,,0.404587060213089,0.8866828083992004
79859,59,0.14869435131549835,4.900697231292725,,
79859,59,,,0.39461955428123474,0.8897649645805359
81190,60,0.15287432074546814,4.840113162994385,,
81190,60,,,0.38216540217399597,0.8933519721031189
82521,61,0.15404847264289856,4.835936069488525,,
82521,61,,,0.3698714077472687,0.8974849581718445
83852,62,0.14160248637199402,4.982125759124756,,
83852,62,,,0.36032864451408386,0.899410605430603
85183,63,0.14540672302246094,4.999226093292236,,
85183,63,,,0.3524087071418762,0.9018234610557556
86514,64,0.15357880294322968,4.977743148803711,,
