val_loss,step,epoch,val_acc,loss,acc
2.8146824836730957,75866,56,0.39380988478660583,,
,75866,56,,0.5847268104553223,0.8208364844322205
2.8587961196899414,77197,57,0.3942795395851135,,
,77197,57,,0.5664346218109131,0.827693521976471
2.843977212905884,78528,58,0.39075708389282227,,
,78528,58,,0.5507931709289551,0.8323842287063599
2.9381513595581055,79859,59,0.39287057518959045,,
,79859,59,,0.5382517576217651,0.8369047045707703
2.873958110809326,81190,60,0.3940916657447815,,
,81190,60,,0.523423969745636,0.840356707572937
2.8988430500030518,82521,61,0.39690962433815,,
,82521,61,,0.5068304538726807,0.8456462621688843
2.979201078414917,83852,62,0.3884087800979614,,
,83852,62,,0.4911494255065918,0.8515111207962036
2.951408624649048,85183,63,0.39127370715141296,,
,85183,63,,0.4814859628677368,0.8544641137123108
2.9821720123291016,86514,64,0.3929644823074341,,
